user_item_id,score
77464,2.3116596
79135,2.522283
78505,2.3250854
79021,2.2176812
78960,2.1479168
78911,2.2579033
78897,2.2559314
78887,2.4047852
78502,2.190488
85479,2.4739327
85480,2.3386679
85459,2.3330846
85389,2.3036048
81023,2.36141
85289,2.4029124
81012,2.1821501
81691,2.3456714
85258,2.188236
85240,2.3519964
85230,2.312479
85185,2.3640137
85114,2.3747432
85073,2.2699819
85083,2.1723757
82418,2.307145
82760,2.2603714
82120,2.3694527
84945,2.2569523
82103,2.4190676
84893,2.2334323
84880,2.2810638
84883,2.371355
82754,2.345158
82097,2.3926818
84836,2.2555118
80992,2.2337303
84734,2.4685724
80990,2.2344463
82083,2.3408823
84568,2.2768495
84561,2.376537
81664,2.3630524
84482,2.2025166
84457,2.3582761
82401,2.4089339
84405,2.2781014
82052,2.2320676
82734,2.3832638
80984,2.2685635
84322,2.4023812
84256,2.2963831
82357,2.3698394
80978,2.3898478
84213,2.5422685
84202,2.3433254
82355,2.3555758
80972,2.244297
84158,2.182968
84137,2.315326
84040,2.2144105
84026,2.3514912
84013,2.474631
84014,2.2982018
82354,2.3331347
82021,2.2793744
81621,2.358274
83934,2.1780052
83887,2.4068637
83860,2.324381
83862,2.341736
81995,2.3448703
80930,2.3870168
83833,2.4150717
80926,2.2466042
81988,2.4107316
83768,2.3889549
83725,2.369514
83736,2.2517412
83747,2.2864752
80921,2.250013
83683,2.3906665
83545,2.250937
81596,2.2195084
82689,2.3394234
83403,2.2952898
81957,2.3797388
80881,2.3568876
80865,2.3285232
80868,2.3236692
80873,2.364054
80844,2.281425
83321,2.3750007
83309,2.3021722
81586,2.4199536
81583,2.227458
82327,2.4504335
81944,2.357104
83228,2.2348773
80813,2.3992634
80802,2.335532
92647,2.202376
93549,2.3700643
93429,2.248932
93398,2.2603707
93119,2.3471873
93216,2.2190783
83314,2.2430067
94473,2.3734763
94468,2.3546503
7492,2.3186874
7490,2.3766224
7488,2.352255
15798,2.34295
7479,2.3509333
7478,2.2727706
7475,2.3171942
46868,2.2898877
3664,2.3524735
7465,2.2583334
9661,2.372382
99534,2.5562468
7362,2.3900077
5057,2.3456929
7444,2.3351307
7441,2.2972105
25833,2.2661538
87410,2.3697822
7360,2.4182634
7424,2.3635707
70952,2.2563798
7412,2.254721
5411,2.3537488
7408,2.3468401
84246,2.3355477
78470,2.3041883
88619,2.23053
7392,2.365376
7387,2.3186698
7374,2.2810035
57294,2.3735764
56010,2.3640673
17898,2.2965033
95894,2.3940604
95972,2.4149392
96730,2.438926
96720,2.1824749
96710,2.3764992
96701,2.356148
96702,2.4604523
96694,2.3061714
96576,2.234509
95968,2.4120648
95965,2.264339
96378,2.2674906
96364,2.3277855
96294,2.1529608
96176,2.2907653
99273,2.2956824
1725,2.2206967
54179,2.3697963
2386,2.352552
2388,2.2542663
2123,2.3068
2308,2.364227
2122,2.3718028
4101,2.344375
4087,2.325115
85665,2.3750737
25607,2.3616807
71203,2.3399918
25605,2.1647415
85486,2.1718707
8119,2.479886
7630,2.2360263
19037,2.3657432
8118,2.3425102
95815,2.2864673
7810,2.2442973
8111,2.3374283
8112,2.3769803
76532,2.3082998
7809,2.249073
91742,2.26404
84540,2.2127512
7806,2.4453015
7807,2.3339322
8108,2.3532734
93176,2.3475294
93121,2.3101358
8107,2.176137
8105,2.2415676
5359,2.3870134
67543,2.5086064
82398,2.213343
8101,2.443496
77731,2.3061233
4464,2.314735
82575,2.359366
8097,2.293774
8098,2.4441006
18657,2.4628272
81018,2.310543
7803,2.4109218
7627,2.5043693
86458,2.2825406
5255,2.3505235
78561,2.3858666
99034,2.3112407
98838,2.2050717
8087,2.3677633
8085,2.2339814
7800,2.1842294
84397,2.2923677
93538,2.2709637
8081,2.2028913
85721,2.3960295
7798,2.369222
72983,2.2916675
5133,2.2682657
17067,2.3896916
19785,2.4565458
66778,2.3371818
5210,2.2865574
8069,2.349483
81678,2.3194442
8068,2.1950545
8067,2.3848703
81674,2.3339899
93470,2.2962334
85029,2.342204
7795,2.300859
7796,2.3435676
4319,2.3540862
52440,2.3787584
8063,2.2613842
8060,2.3314955
86484,2.3441527
67065,2.2079775
96151,2.2460093
7793,2.348881
8050,2.3483763
8052,2.4419253
7792,2.2102838
30795,2.4584985
8046,2.3502624
7791,2.3342788
8042,2.2483022
8043,2.3944728
7619,2.370453
8040,2.2799194
66347,2.2132864
98849,2.1600316
78238,2.4076605
8037,2.2324884
8038,2.2154362
84789,2.3468316
7789,2.3245258
6193,2.2969284
8031,2.3071015
7787,2.2948601
7784,2.2162302
7785,2.1658194
82558,2.3546448
8027,2.3914444
21675,2.3588738
8024,2.2844453
19139,2.259981
4014,2.1958876
85219,2.2679865
3642,2.3864734
7782,2.2782009
8016,2.3922276
8017,2.206967
7615,2.2340393
7781,2.3963103
8013,2.3129659
18785,2.1881542
8011,2.3173025
7779,2.3233051
7778,2.3099835
7777,2.389192
7776,2.3558865
73149,2.3107953
7772,2.3490295
7773,2.3853612
73008,2.382797
7771,2.3245673
84453,2.3591626
3614,2.270697
7996,2.1699703
7765,2.3228307
7766,2.312488
7993,2.3409295
7608,2.261409
7987,2.539796
