user_item_id,score
77464,2.174612
79135,2.568879
78505,2.2319808
79021,2.2111697
78960,2.161501
78911,2.2427301
78897,2.3519106
78887,2.3388941
78502,2.2044144
85479,2.48322
85480,2.3374534
85459,2.3064656
85389,2.3253887
81023,2.3614779
85289,2.420487
81012,2.2095246
81691,2.3719902
85258,2.232273
85240,2.3406096
85230,2.2932558
85185,2.4242034
85114,2.3804135
85073,2.2997198
85083,2.155769
82418,2.336785
82760,2.2859848
82120,2.399411
84945,2.215772
82103,2.2858417
84893,2.2516224
84880,2.2479339
84883,2.2937384
82754,2.4012592
82097,2.391293
84836,2.2841403
80992,2.2079787
84734,2.3904603
80990,2.249948
82083,2.3492382
84568,2.4473314
84561,2.3098845
81664,2.3512452
84482,2.200475
84457,2.3186507
82401,2.384089
84405,2.2795918
82052,2.2150495
82734,2.3450484
80984,2.2803755
84322,2.366236
84256,2.2995849
82357,2.3775344
80978,2.3698711
84213,2.25987
84202,2.3502862
82355,2.3733482
80972,2.2633908
84158,2.1703408
84137,2.4629097
84040,2.224577
84026,2.334008
84013,2.2827272
84014,2.29853
82354,2.3522182
82021,2.2726483
81621,2.3698359
83934,2.2355084
83887,2.3619876
83860,2.3513706
83862,2.3489692
81995,2.36704
80930,2.2926192
83833,2.4389205
80926,2.255705
81988,2.282837
83768,2.2870898
83725,2.265258
83736,2.2523122
83747,2.2959933
80921,2.2231429
83683,2.301479
83545,2.207836
81596,2.1571608
82689,2.28412
83403,2.3110156
81957,2.3294072
80881,2.367982
80865,2.382525
80868,2.3481672
80873,2.322682
80844,2.3150208
83321,2.4105363
83309,2.4081223
81586,2.3267906
81583,2.2441874
82327,2.3646939
81944,2.306923
83228,2.2321463
80813,2.2215474
80802,2.3200827
92647,2.2666936
93549,2.3663173
93429,2.2595913
93398,2.2125556
93119,2.305898
93216,2.255462
83314,2.1981983
94473,2.4635987
94468,2.355683
7492,2.3172188
7490,2.4329615
7488,2.3088298
15798,2.3772082
7479,2.322376
7478,2.2750306
7475,2.3375385
46868,2.365224
3664,2.3162508
7465,2.29426
9661,2.3213463
99534,2.5087166
7362,2.2803516
5057,2.4108973
7444,2.369355
7441,2.2767231
25833,2.268975
87410,2.326778
7360,2.3628259
7424,2.3285785
70952,2.2395482
7412,2.2564535
5411,2.3119733
7408,2.345912
84246,2.362755
78470,2.3227108
88619,2.2427378
7392,2.3591385
7387,2.3127747
7374,2.279294
57294,2.2542188
56010,2.297707
17898,2.3038878
95894,2.414043
95972,2.384718
96730,2.4127975
96720,2.1970391
96710,2.3496718
96701,2.3231363
96702,2.3100317
96694,2.3170645
96576,2.2141066
95968,2.41815
95965,2.304312
96378,2.2474482
96364,2.3525524
96294,2.1630607
96176,2.3013117
99273,2.4301472
1725,2.1880486
54179,2.2976396
2386,2.3092377
2388,2.1849973
2123,2.2507348
2308,2.310421
2122,2.4087756
4101,2.335938
4087,2.3012657
85665,2.3746753
25607,2.2968693
71203,2.2195942
25605,2.1778798
85486,2.1876364
8119,2.3959079
7630,2.2387662
19037,2.3544276
8118,2.292135
95815,2.3221996
7810,2.2459226
8111,2.2709508
8112,2.3177028
76532,2.2801206
7809,2.2809486
91742,2.2272947
84540,2.3472514
7806,2.4367967
7807,2.2771423
8108,2.3289804
93176,2.3532977
93121,2.345736
8107,2.1919646
8105,2.2676806
5359,2.340753
67543,2.4130068
82398,2.2155046
8101,2.5502605
77731,2.3219404
4464,2.2926784
82575,2.3344066
8097,2.403355
8098,2.3498259
18657,2.2596495
81018,2.2619503
7803,2.2695642
7627,2.3183255
86458,2.3986382
5255,2.3009145
78561,2.3618069
99034,2.274137
98838,2.2623906
8087,2.2178304
8085,2.2687807
7800,2.165869
84397,2.2960362
93538,2.2257433
8081,2.1504333
85721,2.3822417
7798,2.3416705
72983,2.275313
5133,2.2034023
17067,2.3377016
19785,2.3588233
66778,2.3224423
5210,2.277862
8069,2.3410354
81678,2.275462
8068,2.218567
8067,2.3861537
81674,2.27588
93470,2.2987874
85029,2.306744
7795,2.2609296
7796,2.3133647
4319,2.3070822
52440,2.3231437
8063,2.219345
8060,2.279876
86484,2.3795633
67065,2.2016065
96151,2.1554203
7793,2.2897022
8050,2.3578792
8052,2.2836237
7792,2.3006284
30795,2.3626626
8046,2.3206584
7791,2.3077352
8042,2.1815963
8043,2.306858
7619,2.3344631
8040,2.3028796
66347,2.2391644
98849,2.154201
78238,2.2555902
8037,2.2498515
8038,2.265453
84789,2.3721757
7789,2.3162127
6193,2.3166928
8031,2.3405879
7787,2.2848868
7784,2.3272185
7785,2.1862059
82558,2.3385797
8027,2.3492572
21675,2.3106902
8024,2.2605143
19139,2.196865
4014,2.204331
85219,2.2173057
3642,2.373675
7782,2.2323203
8016,2.375754
8017,2.2251444
7615,2.2631922
7781,2.3327801
8013,2.275407
18785,2.2662802
8011,2.2954519
7779,2.3115935
7778,2.3330393
7777,2.3677268
7776,2.3836596
73149,2.3062994
7772,2.323845
7773,2.3521478
73008,2.286797
7771,2.3222768
84453,2.3281627
3614,2.2768586
7996,2.135373
7765,2.3163695
7766,2.30201
7993,2.3458834
7608,2.1583765
7987,2.3495967
7762,2.3429627
70689,2.3720427
71874,2.329331
7760,2.3112118
7756,2.1995866
7758,2.296164
7980,2.3791542
92862,2.3240075
863,2.2223384
7978,2.2946112
84011,2.3236942
84185,2.283429
86938,2.2534783
7973,2.3004997
7974,2.2499404
7753,2.413209
5996,2.2225137
7970,2.2314975
83954,2.2802393
71238,2.3246164
7968,2.271542
7965,2.3980916
7963,2.305352
592,2.3393674
7961,2.2926707
7958,2.2567184
98637,2.3366451
7957,2.3980598
7953,2.3209937
7954,2.2144787
7751,2.2633245
83837,2.2888446
82360,2.1654696
73251,2.3049855
7750,2.311188
7747,2.2248645
7748,2.1869633
7946,2.3061624
68172,2.2054791
7746,2.3450778
65616,2.2473047
7943,2.2281196
7944,2.3004084
52150,2.3025115
7941,2.360267
7938,2.224957
7934,2.2845688
81974,2.2706928
72460,2.343641
7930,2.3658893
7743,2.3591166
7744,2.2049017
7742,2.3083186
77244,2.2679744
92903,2.5392036
68784,2.209058
7924,2.2615097
7741,2.3087213
98797,2.3140004
7603,2.3780694
7740,2.2162535
92519,2.227435
7739,2.266259
50415,2.2857018
57597,2.352806
80938,2.276469
88160,2.2959318
72908,2.198051
7912,2.4211733
89468,2.2445216
81950,2.3054051
82329,2.302167
7738,2.3243158
7737,2.3321428
52040,2.2890692
89516,2.2915552
7905,2.4209428
7735,2.413589
7903,2.3346076
73051,2.3397748
92653,2.2589982
7732,2.4144964
7731,2.295703
7730,2.2640486
7728,2.2154465
3197,2.2174103
7723,2.3176095
69815,2.2996233
7722,2.2880578
69861,2.2001297
7721,2.1455405
7887,2.2730963
7720,2.3031898
83266,2.1921356
6079,2.3463821
67553,2.2877061
74066,2.2938757
7882,2.3397717
73572,2.2515676
7718,2.356278
7881,2.2949004
7591,2.2470074
7713,2.3249798
50082,2.2977467
7714,2.2599378
7715,2.2540278
7716,2.445105
39133,2.3096786
7712,2.3013248
7710,2.269802
7711,2.330034
7876,2.267015
7588,2.3919606
7589,2.3050725
7707,2.3293793
7708,2.2050357
7709,2.2330017
75552,2.486804
80935,2.3505554
7705,2.260795
7706,2.1645625
7872,2.2711792
7873,2.3008103
7586,2.2643974
7587,2.1487353
7867,2.2676954
7868,2.2671494
7869,2.399899
7870,2.3192155
7703,2.3707414
7864,2.4039764
72872,2.4082592
